google_url,place_name,total_rating,place_category,total_reviews,cost,address,district,eat_in,to_go_1,to_go_2,delivery,opening_hours,website,phone,close,place_acquisition_date
https://www.google.com.tw/maps/place/%E8%94%A6%E9%A3%BC%E6%96%99BirDining/data=!4m7!3m6!1s0x3442ad295f1381db:0xaf68217566fe71ce!8m2!3d25.081589!4d121.5463089!16s%2Fg%2F11sh488ykt!19sChIJ24ETXymtQjQRznH-ZnUhaK8?authuser=0&hl=zh-TW&rclk=1,蔦飼料BirDining,4.6,日本餐廳,112.0,, 10491台北市中山區大直街32號,Plus Code: 3GJW+JG 中山區 台北市,1,1,0,1,,https://instagram.com/birdining?utm_medium=copy_link, 02 2533 6608,,2022-11-29
https://www.google.com.tw/maps/place/%E8%81%B7%E4%BA%BA%E9%9B%99%E9%A5%97%E4%B8%BC+%E5%AF%A6%E8%B8%90%E5%BA%97/data=!4m7!3m6!1s0x3442ad6ad64b5d27:0xe4ee94ae6b2ec35a!8m2!3d25.082319!4d121.54651!16s%2Fg%2F11rqq2rtb4!19sChIJJ11L1mqtQjQRWsMua66U7uQ?authuser=0&hl=zh-TW&rclk=1,職人雙饗丼 實踐店,3.1,日本餐廳,37.0,, 10491台北市中山區大直街35號,Plus Code: 3GJW+WJ 中山區 台北市,1,1,0,1,星期二、11:00 到 14:00、17:00 到 21:00; 星期三、11:00 到 14:00、17:00 到 21:00; 星期四、11:00 到 14:00、17:00 到 21:00; 星期五、11:00 到 14:00、17:00 到 21:00; 星期六、休息; 星期日、11:00 到 14:00、17:00 到 21:00; 星期一、11:00 到 14:00、17:00 到 21:00. 隱藏本週營業時間,, 02 8509 8805,,2022-11-29
https://www.google.com.tw/maps/place/%E5%AE%B6%E5%BA%AD%E4%BE%BF%E7%95%B6/data=!4m7!3m6!1s0x3442ac04e2871f37:0x832ee3295862c863!8m2!3d25.0820036!4d121.545423!16s%2Fg%2F11c6y_vkqb!19sChIJNx-H4gSsQjQRY8hiWCnjLoM?authuser=0&hl=zh-TW&rclk=1,家庭便當,4.4,餐廳,100.0,$, 10491台北市中山區大直街46巷32號,Plus Code: 3GJW+R5 中山區 台北市,1,1,0,1,星期二、10:00 到 19:30; 星期三、10:00 到 19:30; 星期四、10:00 到 19:30; 星期五、10:00 到 19:30; 星期六、10:00 到 14:00; 星期日、11:00 到 19:30; 星期一、10:00 到 19:30. 隱藏本週營業時間,, 02 2533 0082,,2022-11-29
https://www.google.com.tw/maps/place/%E4%BA%9E%E7%B1%B3%E9%A3%9F%E5%9D%8A/data=!4m7!3m6!1s0x3442ac051b2e2d5f:0x6829f03a2ff5b080!8m2!3d25.0817586!4d121.546057!16s%2Fg%2F11b_2zq3h3!19sChIJXy0uGwWsQjQRgLD1LzrwKWg?authuser=0&hl=zh-TW&rclk=1,亞米食坊,4.3,餐廳,113.0,$, 10491台北市中山區大直街34巷1號,Plus Code: 3GJW+PC 中山區 台北市,1,1,0,0,星期二、11:00 到 14:00、17:00 到 20:30; 星期三、11:00 到 14:00、17:00 到 20:30; 星期四、11:00 到 14:00、17:00 到 20:30; 星期五、11:00 到 14:00、17:00 到 20:30; 星期六、11:00 到 14:00、17:00 到 20:30; 星期日、休息; 星期一、11:00 到 14:00、17:00 到 20:30. 隱藏本週營業時間,http://www.walkerland.com.tw/article/view/213875?page=full, 02 2532 9022,,2022-11-29
https://www.google.com.tw/maps/place/%E5%B0%8F%E5%80%89%E5%B1%8B%E9%B0%BB%E9%AD%9A%E9%A3%AF+%E5%A4%A7%E7%9B%B4%E5%BA%97/data=!4m7!3m6!1s0x3442ad9fa0c20933:0xe4afd080675e25b7!8m2!3d25.0827959!4d121.5603287!16s%2Fg%2F11thnps54v!19sChIJMwnCoJ-tQjQRtyVeZ4DQr-Q?authuser=0&hl=zh-TW&rclk=1,小倉屋鰻魚飯 大直店,4.7,鰻魚料理餐廳,21.0,, 104053台北市中山區樂群三路303號英迪格酒店 春,Plus Code: 3HM6+44 中山區 台北市,1,0,1,1,星期二、11:00 到 14:30、17:00 到 22:00; 星期三、11:00 到 14:30、17:00 到 22:00; 星期四、11:00 到 14:30、17:00 到 22:00; 星期五、11:00 到 14:30、17:00 到 22:00; 星期六、11:00 到 14:30、17:00 到 22:00; 星期日、11:00 到 14:30、17:00 到 22:00; 星期一、11:00 到 14:30、17:00 到 22:00. 隱藏本週營業時間,https://www.facebook.com/KokurayaTaiwan, 02 8501 2277,,2022-11-29
https://www.google.com.tw/maps/place/%E9%87%91%E6%8E%92%E9%AA%A8%E5%BF%AB%E9%A4%90%E5%BA%97/data=!4m7!3m6!1s0x3442ac051bc3fda1:0xf5490e9a5757afb7!8m2!3d25.082!4d121.545975!16s%2Fg%2F1w4vgmdh!19sChIJof3DGwWsQjQRt69XV5oOSfU?authuser=0&hl=zh-TW&rclk=1,金排骨快餐店,4.0,台灣餐廳,189.0,$, 10462台北市中山區大直街46巷10號,Plus Code: 3GJW+Q9 中山區 台北市,1,1,0,1,星期二、11:00 到 14:00、17:00 到 19:30; 星期三、11:00 到 14:00、17:00 到 19:30; 星期四、11:00 到 14:00、17:00 到 19:30; 星期五、11:00 到 14:00、17:00 到 19:30; 星期六、休息; 星期日、休息; 星期一、11:00 到 14:00、17:00 到 19:30. 隱藏本週營業時間,, 02 2533 1813,,2022-11-29
https://www.google.com.tw/maps/place/%E6%A2%81%E7%A4%BE%E6%BC%A2%E6%8E%92%E9%AA%A8-%E4%B8%AD%E5%B1%B1%E5%A4%A7%E7%9B%B4%E5%BA%97/data=!4m7!3m6!1s0x3442ad974638fefb:0x2895e3610596d79d!8m2!3d25.0805114!4d121.546779!16s%2Fg%2F11td5j2f3y!19sChIJ-_44RpetQjQRndeWBWHjlSg?authuser=0&hl=zh-TW&rclk=1,梁社漢排骨-中山大直店,3.5,台灣餐廳,18.0,, 10491台北市中山區大直街3號1樓,Plus Code: 3GJW+6P 中山區 台北市,1,1,0,1,星期二、11:30 到 20:30; 星期三、11:30 到 20:30; 星期四、11:30 到 20:30; 星期五、11:30 到 20:30; 星期六、11:30 到 20:30; 星期日、11:30 到 20:30; 星期一、11:30 到 20:30. 隱藏本週營業時間,https://www.buygood.com.tw/Stores.asp?Shop_id=104004, 02 2532 0642,,2022-11-29
https://www.google.com.tw/maps/place/%E6%91%A9%E6%96%AF%E6%BC%A2%E5%A0%A1+%E5%AF%A6%E8%B8%90%E5%A4%A7%E5%AD%B8%E5%BA%97/data=!4m7!3m6!1s0x3442ac0f88a1491f:0xf7ab6cfe32149e90!8m2!3d25.083408!4d121.546438!16s%2Fg%2F1tj4drm1!19sChIJH0mhiA-sQjQRkJ4UMv5sq_c?authuser=0&hl=zh-TW&rclk=1,摩斯漢堡 實踐大學店,3.3,快餐店,197.0,$$, 10491台北市中山區大直街59號,Plus Code: 3GMW+9H 中山區 台北市,1,1,0,0,星期二、07:00 到 22:00; 星期三、07:00 到 22:00; 星期四、07:00 到 22:00; 星期五、07:00 到 22:00; 星期六、07:00 到 22:00; 星期日、07:00 到 22:00; 星期一、07:00 到 22:00. 隱藏本週營業時間,http://www.mos.com.tw/, 02 8509 3529,,2022-11-29
https://www.google.com.tw/maps/place/Subway%E5%A4%A7%E7%9B%B4%E9%A4%90%E5%BB%B3/data=!4m7!3m6!1s0x3442ac050f8c0539:0x83bf034a545c5ef8!8m2!3d25.0823175!4d121.5463038!16s%2Fg%2F11b64f7ggt!19sChIJOQWMDwWsQjQR-F5cVEoDv4M?authuser=0&hl=zh-TW&rclk=1,Subway大直餐廳,3.5,潛艇漢堡餐廳,420.0,$$, 10491台北市中山區大直街48號,Plus Code: 3GJW+WG 中山區 台北市,1,1,0,1,星期二、08:30 到 21:30; 星期三、08:30 到 21:30; 星期四、08:30 到 21:30; 星期五、08:30 到 21:30; 星期六、08:30 到 21:30; 星期日、08:30 到 21:30; 星期一、08:30 到 21:30. 隱藏本週營業時間,http://www.subway.com.tw/, 02 2532 2001,,2022-11-29
https://www.google.com.tw/maps/place/PaPaPasta%E5%B8%95%E5%B8%95%E9%BA%B5%E5%BA%97/data=!4m7!3m6!1s0x3442ac051d7c9505:0x368048d188cce307!8m2!3d25.081974!4d121.545664!16s%2Fg%2F12m94_v6s!19sChIJBZV8HQWsQjQRB-PMiNFIgDY?authuser=0&hl=zh-TW&rclk=1,PaPaPasta帕帕麵店,4.3,意大利麵食店,851.0,$, 104台北市中山區大直街46巷26號,Plus Code: 3GJW+Q7 中山區 台北市,1,1,0,1,星期二、11:00 到 21:00; 星期三、11:00 到 21:00; 星期四、11:00 到 21:00; 星期五、11:00 到 21:00; 星期六、11:00 到 21:00; 星期日、11:00 到 21:00; 星期一、11:00 到 21:00. 隱藏本週營業時間,https://www.facebook.com/papapasta25334625/, 02 2533 4625,,2022-11-29
